Document_No,Dominant_Topic,Topic_Perc_Contrib,Keywords,Text
307,0.0,0.6901000142097473,"forest, use, biodiversity, study, ecosystem, water, restoration, landscape, change, management","The commodity and resource markets played an important role in attaining the country's economic development via energy efficiency, economic insurance prices and sound financial development. However, the enormous pressure of human demand on natural capital exhausts many important rare earth's resources that demolished the global resource conservation agenda. This study examines the stated factors in the top 10 mineral abundant economies by using their latest available data series from 1990 to 2019. The results of the study show that ecological footprints on mineral resources confirmed the hump-shaped relationship between them. The enormous human demand for natural capital is viewed further in the environmental accounting system. Ecological footprints cause a greater extraction of mineral resources that jeopardize future stocks of rare earth's resources. The panel estimates show that insurance and financial services, massive population growth, and continued economic growth decreases mineral resource rents. In contrast, energy efficiency and trade policies increase mineral resource rents across countries. In general, the results support the economic policies that help reduce human demand for natural capital by efficient insurance services, sustainable economic growth, energy efficiency, and trade fair policies. These factors required more sustainable efforts to mitigate adverse environmental externalities by adopting the latest technology in extractive industries to prevent unsolicited mineral losses."
308,4.0,0.5370000004768372,"human, increase, study, factor, may, wildlife, ecology, population, management, behavior","The lack of efforts in promoting conservation technologies to farming communities in the last few decades made the area of critical land, particularly over Java Island, increased by 28.33% during 2009-2014. Another cause of this condition is the unsatisfactory results of the existing land management techniques. The decision to conserve degraded lands should be supported by environmental awareness among the farmers. This study aims to determine (1) the level of environmental awareness and the motivation of farmers to conserve critical lands, (2) the motivation of farmers to adopt conservation techniques, and (3) the effect of environmental awareness on motivation in adopting conservation techniques in three agro-ecological zones, i.e., the highlands, lowlands, and coastal areas. The number of respondents was 600 farmers with an equal number of samples for each zone. The analytical tools used were the crosstab, Spearman correlation, and the structural equation modeling (SEM). The first key finding is that the agro-ecological zone difference determined the level of environmental awareness and farmers' motivation to implement conservation. The second key result is that the coastal area farmers had higher motivations to adopt conservation techniques than the other two agro-ecological zones. We also observe that the farmers who had a high level of environmental awareness will have a strong motivation to adopt conservation techniques. Overall, providing highland farmers with an understanding and practical training on conservation is essential to increase their conservation motivation that has been possessed and implemented by most of the coastal and lowland farmers."
309,4.0,0.7914000153541565,"human, increase, study, factor, may, wildlife, ecology, population, management, behavior","Identifying how policy, socioeconomic factors, and environmental factors influence changes in human well-being (HWB) and conservation efficiency is important for ecological management and sustainable development, especially in the Giant Panda National Park (GPNP). In this study, we systematically analyzed the differences in the conservation status of the giant panda habitat and changes in HWB over 15 years in the GPNP, which includes six mountain sites, Minshan (MS), Qionglai (QLS), Xiaoxiangling (XXL), Liangshan (LS), Qinling (QL), and Daxiangling (DXL). Redundancy analyses were used to determine the factors contributing (policy, socioeconomic factors, and environmental factors) to HWB and giant panda habitat conservation (HC). In addition, using a structural equation model (SEM), we investigated the relationship between the aforementioned three factors and their direct and indirect effects on HWB and HC. The results indicated that there was spatiotemporal heterogeneity of HWB and HC in our study area. There was an increasing number of plant species as well as an increased number of giant panda in GPNP. Generally, HWB in 2015 showed an increasing trend compared with that in 2000. Socioeconomic factors (23.6%) have the biggest influence on HWB and HC, followed by policy (23.2%) and environmental factors (19.4%). Conservation policy had a significantly positive influence on HWB (0.52), while it negatively influenced HC (-0.15). Socioeconomic factors significantly negatively influenced HWB (-0.38). The formulation and implementation of policies to promote economic development will contribute to the protection of giant pandas and their habitat. Our results provide insight on the conservation status of the giant panda habitat, HWB, and factors influencing them in different mountain sites in the GPNP, as well as having implications for the future management of the GPNP."
310,2.0,0.7680000066757202,"specie, habitat, population, use, area, distribution, study, high, model, species","Arapaima (Arapaima sp.) are highly overexploited fish endemic to the Amazon basin. Because the fish are obligate air-breathers, it is possible to use surface-breathing events to count individuals visually for population censuses important for conservation, yet uncertainties remain about body size and environmental influences on air-breathing intervals, and thus count accuracy. This study examined relationships between breathing intervals and environmental parameters (e.g. water temperature and transparency) and body size for radio-tagged arapaima (n = 12) in an upland river-floodplain (Lake Ayapua, Amazonas, Brazil). Generalized additive mixed models were used to evaluate environmental, size, and behavioural correlates of breathing intervals. Temperature was the most influential predictor of air-breathing intervals, followed by body size. The shortest breathing intervals were associated with consecutive 'aggressive' breaths while the longest breathing intervals had consecutive 'calm' breaths. Type of breath, size, and temperature predictors revealed that breathing intervals ranged from 4 to 46 min and were not significantly different among life stages ( x over bar = 15.9 min for sub-adults and adults (>1 m); x over bar = 14.8 min for juveniles (<1 m)). Whereas the current population census method uses fish counts in 20-min intervals, this study found that 15% of observed breaths, and two thirds of fish, took longer than 20 min to breathe. These findings were obtained in relatively cool-water environments, so it is recommended that future population census methods consider water temperature (e.g. extend intervals used for counts in cooler waters), which may improve the accuracy of census counts and thus further enhance arapaima conservation efforts. This study demonstrated an effective method in which fundamental biological information is used to inform and improve population census methods for an imperilled fish in a region where traditional stock assessment is ineffective. Similar approaches for adaptive stock assessments could be applied to improve conservation of other air-breathing fishes (e.g. lungfishes) globally."
311,2.0,0.9215999841690063,"specie, habitat, population, use, area, distribution, study, high, model, species","The family Profundulidae is a group of small-sized fish species distributed between southern Mexico and Honduras, where they are frequently the only fish representatives at higher elevations in the basins where they occur. We characterized their ecological niche using different methods and metrics drawn from niche modelling and by re-examining phylogenetic relationships of a recently published molecular phylogeny of this family to gain a better understanding of its biogeographic and evolutionary history. We assessed both lines of evidence from the perspective of niche conservatism to set a foundation for discussing hypotheses about the processes underlying the distribution and evolution of the group. In fish clades where the species composition is not clear, we examined whether niche classification could be informative to discriminate groups geographically and ecologically consistent with any of the different hypotheses of valid species. The characterization of the ecological niche was carried out using the Maxent algorithm under different parameterizations and the projection of the presence on the main components of the most relevant environmental coverage, and the niche comparison was calculated with two indices (D and I), both in environmental space and in that projected geographically. With the molecular data, a species tree was generated using the *BEAST method. The comparison of these data was calculated with an age-overlap correlation test. Based on the molecular phylogeny and on niche overlap analyses, we uncovered strong evidence to support the idea that ecologically similar species are not necessarily sister species. The correlation analysis for genetic distance and niche overlap was not significant (P > 0.05). In clades with taxonomic conflicts, we only identified Profundulus oaxacae as a geographically and ecologically distinct group from P. punctatus. All the evidence considered leads us to propose that Profundulidae do not show evidence of niche conservatism and that there are reasons to consider P. oaxacae as a valid species. Our study suggests that niche divergence is a driving evolutionary force that caused the diversification and speciation processes of the Profundulidae, along with the geological and climatic events that promoted the expansion or contraction of suitable environments."
312,2.0,0.2551000118255615,"specie, habitat, population, use, area, distribution, study, high, model, species","In this exploratory study, we employ an interdisciplinary approach to explore potential synergies and trade-offs between the needs of people and nature in the context of agroecological farming and nature conservation. Ecological field studies and management surveys from six sites were combined with a participatory-deliberative appraisal exercise using the Multi-Criteria Mapping (MCM) method. All six study sites and all four land use options in the appraisal were characterised by the use of large herbivores for agricultural and/or conservation purposes, to varying degrees, and were located in South-East England. MCM participants identified habitat and species diversity, soil health, food production, provision of education and recreational access, as the principal benefits associated with successful management of such sites. Taken overall, their appraisals indicated that a combination of land uses may be best suited to delivering these diverse benefits, but with agroecological (While organic and biodynamic agriculture are subject to legal definition, agroecology offers a more flexible approach and can be viewed as 'a development pathway from input-intensive industrial systems through to highly sustainable, ecological systems'-see Laughton, R. (2017) 'A Matter of Scale', Land Workers Alliance and Centre for Agroecology, Coventry University) farming being perceived as a particularly effective multi-purpose option. Five of the six sites were used for recreational purposes, and in total we recorded five times more humans than wild mammals. Ecological data from the sites indicated that the most conservation-oriented sites performed best in terms of species richness and activity (birds, mammals, bats and invertebrates) and number of species of conservation concern. However, beta diversity metrics indicated important variation in the species assemblages recorded within and between sites. Whereas both agroecological farms in our study produced the greatest weight of saleable meat per unit area, the site that produced the most meat also demonstrated consistently strong performance across many biodiversity metrics. Overall, expert perspectives and the performance of our study sites suggests that combinations of diverse approaches to the management of large herbivores, within a 'wildlife-friendly' envelope, are consistent with providing for the diverse needs of people and nature within shared landscapes. A free Plain Language Summary can be found within the Supporting Information of this article. A free Plain Language Summary can be found within the Supporting Information of this article."
313,1.0,0.995199978351593,"use, land, area, landscape, spatial, result, urban, model, method, development","Cropland protection strategies have provided a strong contribution to limit cropland transformation worldwide. However, it negatively affects ecological land (e.g., forest, grassland, and wetland). Identifying a win-win approach for cropland protection and ecological conservation is important. Land use optimization plays a vital role in solving conflicts among land uses. Thus, in this research, taking China (mainland) as the study area, we optimized the spatial distribution of urban land and cropland to balance the requirement of cropland protection strategies and their negative effects on ecological land according to the spatial heterogeneity of land agricultural production capacity by using the LAND System Cellular Automata model for Potential Effects (LANDSCAPE). Specifically, we developed three optimization scenarios from compensational, occupancy, and occupancy and compensational sectors. We also developed one non-optimization scenario to remain comparable. Results show that compared with the non-optimization scenario, the reduced loss of ecological land in compensational, occupancy, and occupancy and compensational optimization scenario is 7180, 247, and 7277 km(2), respectively. Our research indicates that we should prioritize the quality of compensated cropland when developing cropland protection strategies and planning, considering the low efficiency of the occupancy optimization and the cost of policymaking and implementing."
314,6.0,0.5030999779701233,"research, social, management, biodiversity, system, approach, study, scale, use, provide","OCBIL theory is a multi-hypothesis formulation aimed towards an understanding of the evolution, ecology and conservation of biological and cultural diversity on old, climatically buffered, infertile landscapes (OCBILs). OCBILs have been in existence contemporaneously with rainforest since Gondwanan times. Such landscapes are common in areas of eucalypt species richness embraced by Australia's two Global Biodiversity Hotspots, the Southwest Australian Floristic Region and the Forests of East Australia. Here, I summarize evidence pertaining to the eucalypts in the context of a recent reformulation of OCBIL theory into 12 evolutionary, ecological and cultural hypotheses and ten conservation management hypotheses. A compelling argument emerges for a new interpretation of the eucalypts evolving out of the OCBILs, rather than out of the rainforests as traditionally interpreted. This calls for a significant reinterpretation of best conservation management of the eucalypts. For example, traditional ideas on application of fire in eucalypt communities regarded as well adapted to this disturbance need to give way to a more nuanced and cautious view. This review of eucalypts seen as evolving out of the OCBILs helps in understanding the group from several new perspectives. Interpretation of other sedentary plant and animal groups as out of the OCBILs is commended for further study."
315,0.0,0.6265000104904175,"forest, use, biodiversity, study, ecosystem, water, restoration, landscape, change, management","Long-distance migration across the large landscapes is an important ecological process in wild elephants, which enable them to search new feeding grounds and resources, altering the forest ecosystem and biodiversity, strengthening the gene flow among the populations and to sustain in a changing environment. However, in the recent past a long chain of the forest from where elephant used to perform such long-distance migrations has been fragmented and unsustainable land-use practices have disconnected most of the elephant corridor. Recently, India hosted the 13th Meeting of the Conference of Parties to the Convention on Migratory Species (CMS), wherein India's proposal for inclusion of the Asian elephant in the Appendix I of the Convention was adopted. The inclusion of Asian elephants in Appendix I of the CMS would provide the species with the international conservation importance, trans-boundary cooperation for conservation of elephants and in providing legal protection to the migratory routes of the elephants across international boundaries. Besides, this would also facilitate in strengthening the gene base of the populations and in reducing the human-elephant conflict across the migratory route of the elephants."
316,2.0,0.7239999771118164,"specie, habitat, population, use, area, distribution, study, high, model, species","Studies on the quantum of non-edible biota (NEB) discarded during the trawl fishing operations hardly exist in literature. The limited availability of baseline data on this specific area of research has resulted in an inadequate assessment of the ecological implications of plant and animal species caught and discarded during trawl operation. In this context, an attempt was made to document the marine faunal diversity and biomass of NEB destroyed and discarded by trawl operations along the Thoothukudi coast, Gulf of Mannar Marine Biosphere Reserve (GoMMBR), India. The results of study revealed that percentage composition of different phyla represented in the NEB bycatch during the sampling period are Echinodermata (47.81%), Cnidaria (16.40%), Mollusca (13.34%), Arthropoda (9.94%), Porifera (5.13%), Chordata (0.12%) and Others (7.27%). In total, 16 taxonomic groups were represented where in group-wise assemblage of the biomass was dominated by sea stars (25.61%) followed by sea urchins (16.64%), jellyfishes (16.40%), gastropods (7.80%), stomatopods (6.65%), sponges (5.13%), while other taxonomic groups contributed less than 5% of the total NEB biomass. In terms of species diversity, echinoderms showed the highest number (21 species) followed by molluscs (20 species), arthropods (11 species), cnidarians (6 species), and others form fewer in numbers (<5 species). The seasonal percentage biomass of NEB shows a maximum in the summer, SuM (36.1%) followed by monsoon, MoN (23%) whereas the Bray-Curtis similarity coefficient revealed high similarity (58.58%) in biomass composition between post-monsoon, PoM & pre-monsoon, PrM. Principal Component Analysis (PCA) showed that the extracted principal component 1 (PC1) explained 65.1% of the total seasonal variability in the NEB biomass. Given the worldwide marine biota destruction due to trawl fishing, this report provides baseline information about the magnitude of the ecologically important marine NEBs dislodged and discarded during the bottom trawl fishery. The study will strengthen the data deficiency for the conservation of marine biota more specifically on the NEBs along Thoothukudi region of GoMMBR."
317,4.0,0.5774999856948853,"human, increase, study, factor, may, wildlife, ecology, population, management, behavior","Ecological restoration and conservation are primary components of sustainable development around the world, particularly during the contemporary era of climate change. However, restoration and conservation are not free; they consume huge amounts of resources that would otherwise support social and economic development. Therefore, excessive conservation creates a risk of creating rather than eliminating poverty. Unfortunately, scientists have largely ignored the balance between these contrasting goals. Here, we discuss the concept of finding the threshold that represents a suitable balance between ecological conservation and economic development, thereby maximizing the benefits for both humans and the environment and promoting sustainable development. To demonstrate the concept, we examined China's ecological restoration achievements and discussed some of the unforeseen negative consequences that accompanied these achievements to discuss how future policies could better balance ecological and socioeconomic goals."
318,0.0,0.7768999934196472,"forest, use, biodiversity, study, ecosystem, water, restoration, landscape, change, management","In 2012, the Communist Party of China developed the first ecological civilization construction national strategy, with a special focus on ecosystem environments and natural resources. The aim of this strategy is to manage ecology, environmental challenges, and resource depletion occurring under rapid economic development. However, research has not been conducted to assess the progress of ecological civilization after the implementation of this national strategy across China's provinces and over time, and the comparison in ecological civilization progress before and after the implementation of the national strategy is still unknown. This information is critically important as it can be used to evaluate the effectiveness of the national strategy and provide useful guidelines for future policy-making to better manage national ecology and environment. To address this knowledge gap, we assessed ecological civilization progress across China's provinces in 2012-2017 and 2007-2012. Comprehensive assessments were based on a synthetical weight-based index consisting of 33 indicators that focus on ecosystem conservation, environmental quality improvement, and rational utilization of resource. The results demonstrated that at a national level, the general progress rate of ecological civilization reached 14.94% in 2012-2017, which was 2.3 times of the levels recorded in 2007-2012. Unexpectedly, the growth rate of progress in the most important dimension-ecosystem conservation (7.54%)-was far lower than that of environmental quality improvement (19.46%) and rational utilization of resource progress (17.11%). Moreover, large variations existed among ecological civilization progress across provinces. After the implementation of the ECC strategy, developing provinces made more improvement in ecological civilization progress than developed provinces. The results of our study demonstrate the improvement in progress of China's ecological civilization construction and indicate that ecosystem conservation should be further highlighted for ecological civilization development policy. (C) 2020 Elsevier Ltd. All rights reserved."
319,0.0,0.4390000104904175,"forest, use, biodiversity, study, ecosystem, water, restoration, landscape, change, management","We studied food security and biodiversity conservation from a social-ecological perspective in southwestern Ethiopia. Specialist tree, bird, and mammal species required large, undisturbed forest, supporting the notion of 'land sparing' for conservation. However, our findings also suggest that forest areas should be embedded within a multifunctional landscape matrix (i.e. 'land sharing'), because farmland also supported many species and ecosystem services and was the basis of diversified livelihoods. Diversified livelihoods improved smallholder food security, while lack of access to capital assets and crop raiding by wild forest animals negatively influenced food security. Food and biodiversity governance lacked coordination and was strongly hierarchical, with relatively few stakeholders being highly powerful. Our study shows that issues of livelihoods, access to resources, governance and equity are central when resolving challenges around food security and biodiversity. A multi-facetted, social-ecological approach is better able to capture such complexity than the conventional, two-dimensional land sparing versus sharing framework."
320,3.0,0.54339998960495,"area, management, protect, fish, marine, biodiversity, impact, ecosystem, use, identify","In order to contribute to the management of small-scale trawling fishing of the Xiphopenaeus kroyeri shrimp, the aim of this study was to evaluate the local ecological knowledge (LEK) and the conservationist attitudes of artisanal fishers in four fishing communities along the central Brazilian coast. This study was based on 80 ethnographic interviews conducted in two communities are in the state of Bahia (Santa Cruz Cabralia and Barra de Caravelas) and two communities in the state of Espirito Santo (Barra Nova and Anchieta). The fishers present knowledge compliance with literature, except in aspects reproductive of the shrimp and are willing to exchange knowledge with researchers. The mean attitude index of the fishers was 0.65. Education activities should focus on the reproductive biology of shrimp to include fishing communities in the drafting of legislation about closed season period, as this issue is directly related to possible divergences between fishers do not adhere to them. The results suggest that, dialogue and knowledge exchange is necessary among the stakeholders, including the fishers, scientists and managers, who are responsible for the elaboration of management measures."
321,3.0,0.612500011920929,"area, management, protect, fish, marine, biodiversity, impact, ecosystem, use, identify","Human activities are considered a critical impact factor for decision-making in coupled human-nature systems, such as conservation of coastal systems. Identifying key human activities that cause significant habitat degradation for coastal species remains challenging. We improved the spatial subsidy approach to identify and prioritize control strategies for human-caused distribution shifts of marine species. We applied this method to a threatened Indo-Pacific humpback dolphin (Sousa chinensis) in Xiamen Bay, China. Our results indicate that (1) a significant distribution shift for humpback dolphins from existing nature reserves to peripheral waters occurred from 2011 to 2014; (2) coastal tourism and industrial and urban construction had more significant negative impacts on humpback dolphins than maritime transportation and reclamation; and (3) proactive management should be implemented for maritime transportation and reclamation, while reactive management should be implemented for coastal tourism and industrial and urban construction. Human impact analysis, combined with spatially explicit modeling, contributes to determining the spatial alternatives for conservation planning. In response to possible ecological damage caused by human activities, the improved spatial subsidy results help provide knowledge and platforms for ecological compensation."
322,3.0,0.41999998688697815,"area, management, protect, fish, marine, biodiversity, impact, ecosystem, use, identify","Conserving biodiversity in the long term will depend in part on the capacity of Protected Areas (PAs) to cope with cross-scale, social-ecological disturbances and changes, which are becoming more frequent in a highly connected world. Direct threats to biodiversity within PAs and their interactions with broader-scale threats are both likely to vary with PA spatial and management characteristics (e.g., location, dependence on ecotourism revenues, governmental support). Private Land Conservation Areas (PLCAs) are interesting case study systems for assessing cross-scale threats to PAs and their determinants. Despite the growing number of PLCAs around the world, there is considerable uncertainty regarding the long-term capacity of these privately owned areas to conserve biodiversity. Their potential impermanence is commonly raised as a key concern. To better understand the threats to which different types of PLCAs are likely to be vulnerable, we asked 112 PLCA landholders in South Africa what they perceived as the top threats to their PLCAs. Landowners identified direct threats to the biodiversity within their PLCAs (e.g., poaching, extreme weather, inappropriate fire regimes, alien species) as well as describing broader socio-economic threats (e.g., regional crime, national legislation and politics, global economic recessions), which were noted to interact across scales. We found support for the hypothesis that patterns in the perceived multi-scale threats to a PLCA correspond with its management and spatial characteristics, including its remoteness, dependence on ecotourism or hunting revenues, and richness of megafaunal species. Understanding the threats to which different PLCAs may be vulnerable is useful for developing more nuanced, targeted strategies to build PLCA resilience to these threats (for example, by strengthening the capacity of self-funded PLCAs to cope with the threat of economic downturns through more innovative financial instruments or diversified revenue streams). Our findings highlight the importance of considering interactions between broad-scale socioeconomic changes and direct threats to biodiversity, which can influence the resilience of PAs in ways that are not anticipated by more traditional, discipline-specific consideration of direct threats to the biodiversity within their boundaries."
323,1.0,0.9926000237464905,"use, land, area, landscape, spatial, result, urban, model, method, development","Understanding the trade-off between the loss of ecological lands and farmland to urbanisation could alleviate negative consequences to the environment and food security. This study aims to analyse the impact of urbanisation on ecological lands and farmland by comparing respective losses of habitat quality and agricultural productivity potential. Different scenarios are established indicating the priority of conserving ecological lands or farmland based on their vulnerability as measured by weight. With a land-use simulation model LANDSCAPE, the demand for urban land is met by occupying inferior ecological lands or farmland. Land-use patterns in each scenario are projected to 2035 in Wuhan (a rapidly urbanising city in China). As the weight of habitat quality decreases, the loss of habitat quality increases from 2.56 to 5.80%, while the loss of agricultural productivity potential decreases from 4.16 to 2.94%. The higher vulnerability of habitat quality loss indicates that ecological lands need a priori conservation than farmland in exchange for urbanisation."
324,1.0,0.5503000020980835,"use, land, area, landscape, spatial, result, urban, model, method, development","According to our research findings, the future-oriented conservation of natural ecological resources in the Sahn-Yang Gotjawal area should be shaped and formed in a sustainable ecological way to improve the economy of the Sahn-Yang area. This study covers a systematic and quantitative assessment of the function, design, and purpose of establishing a regional eco-tourism program using the Sahn-Yang Gotjawal (Volcanic Lava Stony Forest) natural resources of Jeju Island, South Korea. Although citizens' interest in Jeju Gotjawal has increased, reckless exploration and damage still occurred. There were improvements on the movement to preserve geological features and the ecosystem. However, unfortunately the negative effects of only seeking development opportunities without regard to the environment was realized as well. Through strengths, opportunities, aspirations, results (SOAR) analysis, various potential situations and conditions using the Sahn-Yang Gotjawal resources were analyzed with quantitative and qualitative techniques. In addition, through media analysis, the benefits and opportunities that the Gotjawal resources could provide the citizens were identified and the results were combined with SOAR analysis to present an integrated vision. In order to make wise use of Sahn-Yang Gotjawal, such as conserving, sustaining, and creating accessibility (guided by SESs), it is necessary to concentrate on the 'strengths' such as creating and maximizing attractions which can develop management programs such as preservation research and monitoring, as well as establishing sustainable usage of facilities such as visitors' gathering spaces, exploration activities, and convenient facilities."
325,6.0,0.383899986743927,"research, social, management, biodiversity, system, approach, study, scale, use, provide","Metacommunity ecology combines local (e.g., environmental filtering and biotic interactions) and regional (e.g., dispersal and heterogeneity) processes to understand patterns of species abundance, occurrence, composition, and diversity across scales of space and time. As such, it has a great potential to generalize and synthesize our understanding of many ecological problems. Here, we give an overview of how a metacommunity perspective can provide useful insights for conservation biology, which aims to understand and mitigate the effects of anthropogenic drivers that decrease population sizes, increase extinction probabilities, and threaten biodiversity. We review four general metacommunity processes-environmental filtering, biotic interactions, dispersal, and ecological drift-and discuss how key anthropogenic drivers (e.g., habitat loss and fragmentation, and nonnative species) can alter these processes. We next describe how the patterns of interest in metacommunities (abundance, occupancy, and diversity) map onto issues at the heart of conservation biology, and describe cases where conservation biology benefits by taking a scale-explicit metacommunity perspective. We conclude with some ways forward for including metacommunity perspectives into ideas of ecosystem functioning and services, as well as approaches to habitat management, preservation, and restoration."
326,6.0,0.3271999955177307,"research, social, management, biodiversity, system, approach, study, scale, use, provide","Ecological and evolutionary concepts have been widely adopted to understand host-pathogen dynamics, and more recently, integrated into wildlife disease management. Cancer is a ubiquitous disease that affects most metazoan species; however, the role of oncogenic phenomena in eco-evolutionary processes and its implications for wildlife management and conservation remains undeveloped. Despite the pervasive nature of cancer across taxa, our ability to detect its occurrence, progression and prevalence in wildlife populations is constrained due to logistic and diagnostic limitations, which suggests that most cancers in the wild are unreported and understudied. Nevertheless, an increasing number of virus-associated and directly transmissible cancers in terrestrial and aquatic environments have been detected. Furthermore, anthropogenic activities and sudden environmental changes are increasingly associated with cancer incidence in wildlife. This highlights the need to upscale surveillance efforts, collection of critical data and developing novel approaches for studying the emergence and evolution of cancers in the wild. Here, we discuss the relevance of malignant cells as important agents of selection and offer a holistic framework to understand the interplay of ecological, epidemiological and evolutionary dynamics of cancer in wildlife. We use a directly transmissible cancer (devil facial tumour disease) as a model system to reveal the potential evolutionary dynamics and broader ecological effects of cancer epidemics in wildlife. We provide further examples of tumour-host interactions and trade-offs that may lead to changes in life histories, and epidemiological and population dynamics. Within this framework, we explore immunological strategies at the individual level as well as transgenerational adaptations at the population level. Then, we highlight the need to integrate multiple disciplines to undertake comparative cancer research at the human-domestic-wildlife interface and their environments. Finally, we suggest strategies for screening cancer incidence in wildlife and discuss how to integrate ecological and evolutionary concepts in the management of current and future cancer epizootics."
327,0.0,0.9453999996185303,"forest, use, biodiversity, study, ecosystem, water, restoration, landscape, change, management","Forest area has dramatically increased since the beginning or middle of the 19th century in European countries. At least half of the forests present today have grown on formerly cultivated lands, pastures or heathlands. However, net forest expansion largely masks a slow but irretrievable erosion of ancient forests. Meanwhile, forest resource harvesting (biomass, litter) has fundamentally changed during the last two centuries, moving from intensive biomass removal to increased growing stocks in different European countries. This article reviews the current knowledge on the long-term legacies of past land use and forest management practices and their effects on the functions, diversity and composition of understory vegetation of current forest ecosystems. First, we define the concepts of forest continuity and ancient forest. Then, based on the French case, we present the advances in historical sources, which make it possible to better reconstruct the change in land use and forest management practices over the last two hundred years. We review how understory plant communities and their traits respond to forest continuity and to different types of former agricultural uses, both at local and landscape scales. We then address three important issues for conservation and management: the conservation value of ancient forests, the impact of forest management on the ecological integrity of ancient forests, and the under-explored legacies of former forest management practices on soil and understory vegetation. Lastly, we propose five main fronts for future research efforts: (a) explore all types of cartographic, written sources and environmental markers; (b) develop modelling approaches to understand how past land use shapes plant communities; (c) better define the conservation value of ancient forests in conservation and management policies; (d) investigate how drivers of global change interact with forest management and land use legacies and (e) explore land use legacies in mountain and Mediterranean socio-ecological systems."
328,0.0,0.4878000020980835,"forest, use, biodiversity, study, ecosystem, water, restoration, landscape, change, management","The multiple problems of modern agriculture urge people to probe into sustainability of the traditional agriculture. As important representatives of Chinese traditional agriculture, the agricultural heritage systems on aquatic-ecological conservation (AHSAEC) are confronting threats and urgently needs to be protected. In this study, the functions and value of the AHSAECs are analyzed by multi-disciplinary methods including system analysis methods based on the review of old books and modern scientific research literature, and the nature of their sustainability are discussed, and the countermeasures against their current unsustainability are proposed. The results show that AHSAECs derive from the simple eco-agriculture models such as the Taihu Lake multi-industry compound ecoagriculture model in historical periods. These systems can integrate farming, forestry, animal husbandry, and aquaculture and make them a sustainable recycling system. Thus, they have strong ecological stability, rich cultural connotation, and good comprehensive benefits. Traditional eco-wisdom from Chinese traditional culture is the power to promote the sustainability and high-quality development of these systems. The key eco-wisdom of AHSAECs is to integrate aquaculture with livestock and poultry breeding and planting through the harmless treatment and recycling of agricultural wastes, which is conducive to the aquatic ecosystem conservation and sustainable resources utilization. Nowadays, it is urgent to preserve the eco-wisdom by establishing ecological museums to realize the productive protection and inheriting development of the heritage systems."
329,1.0,0.49059998989105225,"use, land, area, landscape, spatial, result, urban, model, method, development","The interdisciplinary nature of conservation problems is increasingly being incorporated into research, raising fundamental questions about the relative importance of the different types of knowledge and data. Although there has been extensive research on the development of methods and tools for conservation planning, especially spatial planning, comparatively little is known about the relative importance of ecological versus non-ecological data for prioritization, or the likely return on investment of incorporating better data. We demonstrate a simple approach for (1) quantifying the sensitivity of spatial planning results to different ecological and non-ecological data layers, and (2) estimating the potential gains in efficiency from incorporating additional data. Our case study involves spatial planning for coastal squeeze, a process by which development blocks coastal ecosystems from moving landward in response to sea-level rise. We show that incorporating spatial data on landowners' likelihood of selling had little effect on identifying relative priorities but drastically changed the outlook for whether conservation goals could be achieved. Better data on the costs of conservation actions had the greatest potential to improve the efficiency of spatial planning, in some cases generating more than an order of magnitude greater cost savings compared to ecological data. Our framework could be applied to other systems to guide the development of spatial planning and to identify general rules of thumb for the importance of alternative data sources for conservation problems in different socio-ecological contexts."
330,2.0,0.5853999853134155,"specie, habitat, population, use, area, distribution, study, high, model, species","The role of understory plants in native forests is critical for ecosystem function, wildlife protection and ecosystem productivity. The interest to estimate biodiversity increased during the last decades at landscape level. The objective was to elaborate a map of potential biodiversity (MPB) of understory species of Nothofagus forest using potential habitat suitability maps (PHS) of 15 plants in Santa Cruz province, Argentina. Additionally, we asked the following questions: (i) Were plant species differentially distributed according to the forest types?, (ii) do forest types represent different plant species assemblage with specific ecological niche requirements?, and (iii) is it possible to detect hotspots in the MBP according to the forest types? We used 721 plots database of vascular plants. from where 15 indicator species were identified. The assemblage species for different forests (Nothofagus antarctica. N. pumilio and evergreen mixed) were analysed using a detrended correspondence analysis. Also, we explored 41 potential explanatory variables to develop PHS, and combined these maps to obtain one MPB (1-100%). Finally, we analysed the outputs into a GIS through different landscapes alternatives to detect hotspot areas. Marginality and specialization values allowed identifying species assemblage that presented similar variability in the habitat requirements. MPB varied across the landscape, with higher values in the south and lower values near glaciers. MPB had the highest values in N. antarctica forest with >50% cover at landscape level. N. antarctica present more hotspots than N. pumilio forests, mainly in the south, compared evergreen forests which present few hotspots near glaciers. These results can be used as a tool to design new management and conservation strategies at landscape level. (C) 2019 Published by Elsevier B.V."
